Date,Open,High,Low,Close,Adj Close,Volume
2013-10-29,16.803400,16.879499,16.223400,16.337500,15.276074,4515761
2013-10-30,16.365999,16.822500,16.251900,16.641800,15.560606,1175551
2013-10-31,16.480101,17.069700,16.480101,17.069700,15.960708,1306367
2013-11-01,17.107700,17.535700,17.107700,17.355000,16.227470,846304
2013-11-04,17.592699,18.439100,17.516600,18.353500,17.161098,1697867
2013-11-05,18.296400,18.733900,18.134800,18.496099,17.294436,1425299
2013-11-06,18.400999,18.448601,18.163300,18.400999,17.205511,287710
2013-11-07,18.096701,19.009600,18.068199,18.819500,17.596823,470263
2013-11-08,18.829000,18.924101,18.562700,18.829000,17.605707,387819
2013-11-11,18.829000,18.829000,18.629299,18.733900,17.516788,190860
2013-11-12,18.762400,18.829000,18.296400,18.496099,17.294436,242387
2013-11-13,18.448601,18.895500,18.087200,18.543699,17.338940,341024
2013-11-14,18.829000,19.000099,18.448601,18.924101,17.694628,336292
2013-11-18,19.019199,19.123800,18.781401,19.019199,17.783548,263629
2013-11-19,19.123800,19.123800,18.638800,19.019199,17.783548,169303
2013-11-21,18.848000,19.133301,18.600700,19.009600,17.774572,253008
2013-11-22,19.009600,19.599300,18.667299,19.019199,17.783548,297805
2013-11-25,19.076200,19.485100,18.809900,19.256901,18.005810,379722
2013-11-26,18.924101,19.827499,18.924101,19.732401,18.450413,544714
2013-11-27,19.970100,20.331499,19.171301,19.970100,18.672672,408220
2013-11-28,20.388500,20.388500,19.504200,20.350500,19.028357,289497
2013-11-29,20.550200,20.635799,20.160299,20.350500,19.028357,530623
2013-12-02,20.065201,20.806999,19.846500,20.302999,18.983942,575735
2013-12-03,20.293400,20.635799,19.884501,20.207899,18.895018,575314
2013-12-04,20.626301,20.635799,19.989100,20.350500,19.028357,270990
2013-12-05,20.626301,20.635799,19.989100,20.388500,19.063889,290234
2013-12-06,20.274401,20.350500,19.960600,20.160299,18.850513,451755
2013-12-09,20.008200,20.474100,19.970100,19.970100,18.672672,321045
2013-12-10,19.913099,20.341000,19.799000,20.131800,18.823864,769750
2013-12-11,20.198400,20.255400,20.065201,20.160299,18.850513,302537
2013-12-12,20.255400,20.911600,20.169800,20.588200,19.250610,498445
2013-12-13,20.673800,21.092300,20.407600,20.826000,19.472965,434719
2013-12-16,20.730900,21.149300,20.540701,21.006701,19.641924,300539
2013-12-17,21.044701,21.234900,20.787901,20.921101,19.561886,389712
2013-12-18,20.892500,21.253901,20.844999,21.016199,19.650806,489191
2013-12-19,21.092300,21.158800,20.882999,21.158800,19.784142,585410
2013-12-20,21.253901,21.406099,20.873501,21.406099,20.015369,732524
2013-12-23,21.073200,22.024200,21.073200,21.681900,20.273254,219253
2013-12-26,21.681900,21.891100,21.491600,21.891100,20.468866,352802
2013-12-27,21.757900,22.147800,21.643801,21.776899,20.362083,712545
2013-12-30,21.862499,22.347500,21.624800,22.347500,20.895613,1000885
2014-01-02,22.319000,22.556700,21.567699,21.967100,20.539930,186654
2014-01-03,22.052700,22.052700,21.767401,21.776899,20.362083,316418
2014-01-06,21.796000,21.967100,21.548700,21.872000,20.451006,466898
2014-01-07,21.872000,22.033701,21.653299,21.729401,20.317673,468370
2014-01-08,21.729401,21.738899,21.177799,21.253901,19.873064,647347
2014-01-09,21.339500,21.491600,20.493200,21.016199,19.650806,542926
2014-01-10,20.759399,21.615299,20.683300,21.615299,20.210985,642510
2014-01-13,21.415600,21.596300,21.044701,21.301500,19.917572,194015
2014-01-14,21.168301,21.301500,21.006701,21.101801,19.730848,321676
2014-01-15,21.272900,21.272900,20.635799,20.730900,19.384043,303694
2014-01-16,20.730900,20.749901,20.398100,20.683300,19.339539,301485
2014-01-17,20.626301,20.683300,20.293400,20.436100,19.108395,423678
2014-01-20,20.360001,20.445601,19.865499,20.055700,18.752710,221776
2014-01-21,20.131800,20.160299,19.304399,19.542200,18.272573,260369
2014-01-22,19.618299,19.760900,18.952600,19.351999,18.094725,693511
2014-01-23,19.389999,19.751400,19.389999,19.561199,18.290337,624949
2014-01-24,19.380501,19.837000,19.104700,19.361500,18.103611,171616
2014-01-27,19.570700,20.255400,19.570700,19.827499,18.539335,415581
2014-01-28,19.875000,20.160299,19.675301,20.065201,18.761593,348070
2014-01-29,19.884501,20.255400,19.494600,20.255400,18.939432,800140
2014-01-30,20.141300,20.141300,19.542200,19.637300,18.361494,634413
2014-01-31,19.618299,19.856001,19.038200,19.380501,18.121374,578049
2014-02-03,19.180799,19.285400,18.733900,18.733900,17.516788,403488
2014-02-04,18.714899,19.684799,18.553200,19.475599,18.210299,686150
2014-02-05,19.466101,19.932100,19.019199,19.019199,17.783548,322832
2014-02-06,19.285400,19.922600,19.114300,19.732401,18.450413,320309
2014-02-07,19.789400,20.112801,19.551701,19.979601,18.681553,221671
2014-02-10,19.856001,20.445601,19.856001,19.941601,18.646023,200219
2014-02-11,20.093800,20.302999,19.703800,20.112801,18.806103,210209
2014-02-12,20.264900,20.312500,19.741899,19.875000,18.583748,171301
2014-02-13,20.065201,20.074699,19.523199,19.732401,18.450413,113570
2014-02-14,19.818001,20.160299,19.713400,19.732401,18.450413,119353
