Date,Open,High,Low,Close,Adj Close,Volume
2018-06-13,17.160000,17.309999,16.330000,16.889999,16.889999,2275500
2018-06-14,17.090000,17.090000,16.540001,16.700001,16.700001,2030000
2018-06-15,16.750000,16.980000,16.430000,16.559999,16.559999,2799500
2018-06-18,16.770000,17.100000,16.020000,16.809999,16.809999,1880900
2018-06-19,16.430000,17.840000,16.410000,17.840000,17.840000,2490200
2018-06-20,17.990000,18.200001,17.020000,17.370001,17.370001,2714900
2018-06-21,17.150000,17.200001,16.559999,16.969999,16.969999,1963500
2018-06-22,16.840000,17.540001,16.629999,17.540001,17.540001,1686100
2018-06-25,17.700001,18.330000,17.440001,17.879999,17.879999,1505700
2018-06-26,17.910000,18.320000,17.740000,18.320000,18.320000,1865300
2018-06-27,18.320000,18.480000,17.950001,18.200001,18.200001,2878400
2018-06-28,18.200001,18.500000,18.020000,18.280001,18.280001,2807100
2018-06-29,18.450001,18.490000,18.030001,18.290001,18.290001,3135500
2018-07-02,18.299999,18.320000,17.870001,18.160000,18.160000,853100
2018-07-03,18.000000,18.480000,18.000000,18.299999,18.299999,733200
2018-07-04,18.160000,18.340000,18.049999,18.250000,18.250000,678800
2018-07-05,18.500000,18.500000,17.520000,18.000000,18.000000,951200
2018-07-06,18.190001,18.900000,18.030001,18.620001,18.620001,1662500
2018-07-09,18.620001,18.620001,18.620001,18.620001,18.620001,0
2018-07-10,18.740000,19.350000,18.740000,19.350000,19.350000,8177200
2018-07-11,19.340000,19.820000,19.120001,19.459999,19.459999,1787000
2018-07-12,19.430000,20.160000,19.430000,20.030001,20.030001,1418400
2018-07-13,20.150000,20.480000,19.900000,20.200001,20.200001,1817100
